spelling	defined_meaning_id
reporter	1116330
reporter	1116364
bévue	159235
faire cul sec	5803
criminel	5888
criminel	5902
criminel	5904
hassium	160082
nadir	160096
bonnet	160140
bonnet	1448966
casquette	5641
casquette	160142
patin à glace	160147
patin à glace	1478081
roulette	160152
fraise	160152
fraise	1399377
assurer	160044
poser un lapin	160159
faire faux bond	160159
tellure	160178
chaud lapin	160193
indium	160221
bain-marie	160247
yo-yo	160259
Bagdad	160279
fourmi	160271
Bulgarie	160307
botte	159566
botte	332102
bottine	159566
nu	160368
nu	345999
maintenant	5936
maintenant	6960
maintenant	6961
holmium	160464
Mars	160405
Mars	160407
rêvasser	7814
rêvasser	8449
rêvasser	1025651
iridium	160503
jouet	160539
crise cardiaque	160513
pantin	160571
République d’Afrique du Sud	7933
infarctus du myocarde	160513
République sud-africaine	7933
République d’Albanie	5754
ramadan	157478
cajoler	160608
purée de pomme de terre	160649
politicien	160685
politicien	693759
gramme	160718
kilogramme	160738
mètre	160750
kilomètre	160765
litre	160782
douzaine	160808
centimètre	160860
millimètre	160876
faveur	699807
international	7705
international	7706
international	1258967
annexe	160935
annexe	1121700
lanthane	160966
topinambour	161148
arachide	161168
arachide	1325451
beurre de cacahuètes	161207
opportunité	334946
désespérer	161386
acteur	161391
acteur	1144415
actrice	161396
supposer	444345
supposer	7724
supposer	467647
supposer	703199
supposer	1183745
supposer	1408367
dissuader	161402
timbre	161415
docteur	161474
docteur	161480
médecin	161474
médecin	161590
impesanteur	161491
apesanteur	161491
veilleuse	1190326
permis de conduire	161564
permis	161564
étrange	7734
étrange	161713
étrange	1023237
électrique	161745
espoir	161765
cacher	161806
dissimuler	161806
manteau	665928
téléphoner	161761
téléphoner	161754
appeler	161754
appeler	470997
appeler	485609
appeler	626942
lutétium	161929
cloche	161916
tôt	331892
entrée	331949
entrée	493176
entrée	957049
entrée	1086664
entrée	1086685
entrée	1355643
toujours	6902
toujours	331963
toujours	705939
Mund	332012
pouvoir	6164
pouvoir	6490
pouvoir	6491
pouvoir	419859
pouvoir	692473
boîte de conserve	6493
boîte de conserve	452618
omelette	332233
sandwich	332251
hamburger	332265
hamburger	332431
manganèse	332320
beurre d'arachide	161207
beurre de cacahouètes	161207
naufragé	332564
merde	332125
merde	332163
merde	332170
merde	438234
merde	456327
condiment	332437
mentir	161769
lie	332639
signifier	480023
bon	6038
bon	443659
bon	463822
bon	528280
soudain	6349
clavier	332801
voltmètre	332948
ampèremètre	332986
calorie	333116
calorie	1488628
hache	333200
meitnerium	333247
incassable	332940
il y a	333322
kumquat	333366
meilleur	158027
intelligent	333504
contrôler	333407
contrôler	637996
contrôler	919581
barbe	333455
barbe	1243542
barbe	1421068
comparer	333466
négligent	333576
insouciant	333576
détruire	333618
détruire	1053427
détruire	1152220
page	333652
page	641017
personne	333730
personne	965772
posséder	344354
posséder	706549
phobie	333857
chacun	333887
chacun	340739
facile	333916
cargo	334056
cargaison	334056
cargaison	903576
poumon	334158
journal	5668
journal	366733
entre	334412
entre	355591
apporter	334503
Vierge	8107
Vierge	8108
fœtus	7692
le matin	7468
huile	6195
go	334648
jeu de go	334648
provenance	334723
provenance	493863
amputation	334766
rien	333997
souhaiter	333942
décider	333851
décider	704589
aller	334831
aller	343200
aller	1378407
aller	1381647
chance	336810
triste	335013
triste	357129
triste	921740
physicien	335025
parc	335053
jardin public	335053
contenir	5522
contenir	334982
couvre-feu	335158
partenaire	335088
partenaire	439360
soin	335180
porter	7554
porter	335263
porter	420726
rébus	335299
attraper	155110
attraper	335306
attraper	484040
attraper	519501
attraper	1379178
attraper	1462213
attraper	1500174
attraper	1500253
lent	335287
agripper	335306
xylophone	7355
bientôt	335437
enfants	335477
propre	335501
propre	349474
propre	483584
propre	484493
éclaircir	335526
préciser	335526
monter	335553
monter	357187
monter	479363
grimper	335553
grimper	479387
sombre	335607
obscure	335607
jeu de plateau	335778
rappeler	6201
rappeler	335842
enseigner	335855
roue	335923
newton	336152
doux	336426
doux	1465629
château	8265
payer	336535
drap	336569
demi-frère	5543
piémontais	8215
sapeur-pompier	7900
souci	336658
souci	1418942
souci	1418945
inquiétude	336658
volant	335930
volant	356539
volant	645745
volant	1176343
riche	336015
riche	466139
riche	480620
riche	481446
riche	1419518
riche	1419527
riche	1419532
riche	1419639
riche	1419642
riche	1419666
victoire	336702
victoire	345436
pin	7825
broche	7826
broche	1568970
confortable	6340
structurer	6432
simple	5979
simple	333916
simple	371849
vélo de montagne	5879
vélo tout terrain	5879
VTT	5879
se baisser	5986
continuer	6034
continuer	7195
épaule	6186
bas	334481
bas	336887
bas	355706
bas	866831
trouver	336790
molybdène	337009
n'importe quoi	334558
autour de	334554
ouïr	5999
amener	334503
ingurgiter	337081
ingurgiter	337084
voilier	334089
Picsou	7391
Balthazar Picsou	7391
panneau solaire	337140
poli	335540
j'espère	337159
attaque	337168
attaque	346740
attaque	354137
instrument	337210
instrument	642764
lire	337421
lire	341576
lire	742621
cheville d'accord	7823
cheville	7823
cheville	348298
cheville	1568955
cheville	1584277
dollar	337477
dollar	733634
dollar	735603
dollar	735759
dollar	743111
dollar	1002096
dollar	1002824
dollar	1003438
dollar	1006013
dollar	1008587
euro	337443
quille	7824
peso	869303
peso	869324
peso	869624
peso	1004264
franc	511558
franc	699437
franc	717070
franc	732696
franc	734583
franc	737982
franc	811400
franc	812822
franc	897074
franc	897082
franc	897090
franc	897098
franc	897106
franc	897123
franc	897151
franc	897159
franc	897169
franc	897176
franc	897183
franc	897191
kuna	740763
couronne	337578
couronne	735351
couronne	737646
couronne	738408
couronne	740893
couronne	870564
couronne	870583
pyjama	337616
pyjama	387824
hryvnia	754689
chemise de nuit	337678
ciel nocturne	337704
Biélorusse	337717
Biélorusse	337735
Biélorusse	337765
Hollande	5841
État de la Cité du Vatican	8536
Californie	337986
spam	338097
pourriel	338097
moment	338120
moment	398832
moment	426599
néodyme	338320
éviction	338511
fantôme nocturne	337714
premier	338524
premier	471094
premier	695342
première	338524
première	1143910
crépuscule	6673
crépuscule	338608
crépuscule	671445
acide ribonucléique	338622
ARN	338622
extrêmement	338962
extrêmement	1102001
chaque	339032
sinon	339067
autrement	339067
autrement	1411917
niobium	339099
faire	339200
faire	351006
faire	1378485
locution	339349
chouette	1287622
serveur	339447
serveur	339922
serveur	486497
serveur	1410479
cour	339642
allumer	339690
allumer	342038
allumer	729990
débat	339782
débat	1064929
chose	339816
chose	408922
chose	1406694
discussion	339800
discussion	1064929
céleste	5550
divin	5588
praline	6173
sauf	6486
sauf	6716
sauf	349517
hormis	6486
excepté	6486
excepté	349517
mais	6488
jour d'automne	340122
nourrir	340030
nourrir	1083100
jour d'été	340268
jour d'été	667665
zigzaguant	340042
en zigzag	340042
roupie	735465
roupie	745509
roupie	869819
Luxembourgeois	1000383
moldave	340526
moldave	382475
moldave	382478
moldave	611206
osmium	340604
malgré	340776
que	1292514
jouir	6224
jouir	340815
jouir	1561112
hibou	339205
hibou	1287616
tomahawk	5786
scène finale	5885
finale	5885
rayon	340859
rayon	421039
rayon	615626
rayon	630664
rayon	636563
rayon	1391013
rayon	1402676
erreur	5651
erreur	447883
erreur	1575397
donc	340873
Saint-Pétersbourg	6600
sommet	6615
sommet	472690
sommet	477014
sommet	544888
sommet	696037
sommet	709258
sommet	959676
pic	6615
pic	7494
pic	1484680
réception de mariage	5890
écharpe	341019
nom de guerre	782225
pseudonyme	341050
pseudonyme	441863
pseudonyme	782225
grande sœur	7129
grand frère	7130
petit frère	7131
petite sœur	7132
tomber juste	6922
les temps changent	6675
jus de légumes	6646
suspension	8548
entrer	341348
chute	341382
chute	691243
plaisir	341440
élève	341470
élève	353776
réussi	341707
couronné de succès	341707
à jamais	341772
palladium	341758
fait partie du thème	3
habeas corpus	341886
huit	7005
huit	8028
l'un ou l'autre	340736
non plus	340905
sa	7851
sa	342069
sa	342360
ses	7851
ses	342069
ses	342360
praséodyme	342115
lui	342339
nœud	342406
nœud	342440
scientifique	342445
scientifique	387148
scientifique	868849
scientifique	1245163
scientifique	1245171
axone	6462
matelot	342586
je suis désolé	342504
salade	342052
salade	343073
laitue	342052
dépendre de	341672
Océan Atlantique	7950
sentiment	1107963
aide	343208
aide	343223
prométhium	343233
abréviation	343295
période	343420
période	343457
période	445213
primat	343466
persil	343677
ciboulette	343720
oignon	343780
oignon	1029154
oignon	1285266
rencontre	470200
membre	5473
membre	343889
membre	936909
Wikipédia	343910
bouger	1475261
toit	344031
boucle d'oreille	344234
boucle d'oreille	1052240
chapeau	344283
parapluie	344323
piano-forte	344431
forte-piano	344431
piano	344431
piano	345643
chou-fleur	344530
trompette	344567
trompette	364898
bagage	344644
bagage	344656
trompe	344661
torse	344683
trombone	344749
trombone	764885
trombone	1367592
limbourgeois	344765
saxophone	344788
flûte	344824
flûte	525299
tempo	730588
syndrome du décalage horaire	7199
magnétoscope	345032
attention	1573452
attention	1573455
piscine	345236
partie	5535
partie	345219
partie	345232
notre	345304
averse	345354
ondée	345354
protactinium	345414
fort	413833
fort	8179
fort	345510
fort	354253
fort	1575970
clair de lune	346081
Sonate au Clair de lune	346173
sexe	346514
comme	5602
comme	474956
parti	334562
absent	334562
absent	365768
avant	8159
avant	8161
avant	509712
avant	904431
avant	1412066
devant	6371
devant	8160
début	6405
début	355446
début	1014092
commencement	6405
débuter	7451
extrême	496678
passé	375595
en outre	7231
en outre	334497
émergence	5917
morsure	6020
morsure	352554
billot	346924
bloquer	346932
bloquer	346957
barrer	346932
barrer	637826
se mettre en travers	346932
module	346936
bloc	346991
bloc	347008
bloc	356762
bloc	966872
pâté	346991
poulie	156012
exploser	6001
exploser	444717
exploser	1112815
planche	5479
planche	357168
comité	5480
points	8393
radium	347064
furoncle	347037
frontière	419
frontière	5636
jogging	347204
casser	333586
casser	480489
casser	480496
lumineux	333539
clair	333539
clair	1502678
balai	7560
brosse à cheveux	7562
brosser	7563
brosser	7564
brosser	7565
brosser	7566
brosser	7567
brosser	1383373
boîte aux lettres	158101
boîte aux lettres	626260
gâteau	5577
gâteau	1075700
avoir le droit	1466811
canette	6492
toilette	6494
toilettes	6494
toilettes	1444087
capitaine	347303
tarte	347335
tarte	668248
certain	157395
certain	157402
truite	347439
boîtier	7369
emballer	7371
case	347462
case	347465
case	347468
bon marché	8184
choix	5810
choix	5852
de choix	5853
meuble	347551
meuble	1406752
rand	340404
minuscule	543296
minuscule	160391
minuscule	502855
kachoube	156475
cercle	6135
classe	6619
classe	467151
classe	797986
classe	870804
classe	870807
habits	8254
soudainement	656554
ferme	1410
ferme	1397246
contre	5843
contre	6502
contre	347941
contre	441276
testicule	348064
pancréas	348084
thyroïde	348132
poignet	348173
cuisse	348189
bassin osseux	348203
pomme d'Adam	348242
scrotum	348276
rhénium	348371
sperme	6262
sperme	372842
commun	6621
complet	6182
complet	679762
complet	1351725
comte	6013
compte	6012
compte	355120
compte	442161
course	348489
course	348492
course	1473829
couvrir	7839
couvrir	342543
crash	335497
crash	335512
pleurer	7709
danser	8136
décroître	8181
abaissement	348008
abaissement	494131
fin	7149
fin	340750
fin	447451
fin	719162
fin	1341266
bien-aimé	348570
bien-aimé	887525
développer	6538
développer	476372
dîner	1057634
découvrir	8210
découvrir	8211
découvrir	8213
chuter	348656
chuter	349629
goutte	348696
goutte	1314271
schizophrénie	346189
violon	348995
alto	5551
alto	349034
guitare	349118
luth	349299
univers	8506
rhodium	349380
par exemple	349551
pantalon	349559
couvercle	349660
s'enfoncer	349629
mitrailleuse	349994
esclave	350300
esclave	1266803
avocat	350379
avocat	369646
avocat	433830
mathématiques	350427
algèbre	350567
roentgenium	350608
bout	340747
bout	356569
terminer	340760
finir	7146
finir	340757
finir	1123143
réglisse	350740
sèche	5989
secrétaire général de l'ONU	351127
robe	154560
habiller	351286
s'habiller	351289
géométrie	351389
fascisme	351598
lexicologie	351762
remuer	357335
rock	351922
funeste	351962
ruthénium	351999
préférence	350099
préférence	450450
préférence	450462
pair	352232
examen	6540
examen	6541
excité	341506
excité	1018824
excité	1405542
exercice	6185
échouer	341526
fausse	6512
presque	8162
presque	346793
gros	159776
gros	5619
gros	356483
gros	413833
grosse	5619
dandy	347915
événement	6370
événement	352392
saule	352435
teckel	352491
agneau	352601
opéra	352727
dictateur	353049
dictateur	847174
frite	7223
peuplier	388667
peuplier	353334
combien	158133
sorcier	353553
sorcier	693418
sorcière	353642
sorcière	540579
éveillé	353802
éveillé	421953
apparaître	353895
trait de caractère	354211
trait	354211
trait	438514
trait	706544
puissance atomique	354244
marque commerciale	6872
tapis	354528
raton laveur	354847
Bosnie-Herzégovine	355222
traducteur	355656
université	355808
faculté	872253
faculté	872256
environ	6421
utilisateur	356009
samarium	356071
interprète	355739
cuiller	5944
couteau	5873
tournevis	356932
tournevis	356967
bien sûr	356982
sûr	7531
sûr	356982
sûr	1047268
masturbation	357439
Belgrade	357604
Reykjavík	357641
Andorre-la-Vieille	357682
République algérienne démocratique et populaire	5755
Fédération de Russie	8444
élément	1137
scandium	357984
naviguer	345774
naviguer	497267
théâtre	358077
théâtre	358122
théâtre	704997
théâtre	753426
scène	358142
scène	704997
les deux	7161
fourneau	358439
brocoli	358603
département	782
département	487391
meurtre	359371
meurtre	954010
assassinat	359371
plus	359449
plus	359470
charge	436121
charge	767128
charge	908451
accusation	354137
accusation	750373
abricot	359558
soif	359542
conduite	3603
gaine d'évacuation	3603
baptême	360210
baptême	891341
prêtre	360238
curé	360272
pharaon	360920
sphinx	360946
sphinx	472339
autel	361044
autel	1314139
inflation	361080
amande	361201
bouilloire	361374
bouilloire	361382
bouilloire	361386
marié	5593
Budapest	361844
Bruxelles	362074
Bucarest	362204
Bratislava	362281
Varsovie	362334
confisquer	362509
ambulance	363182
supérieur	7331
supérieur	363291
supérieur	363294
supérieur	948163
technétium	363476
acrobate	363659
cause	364159
terbium	364226
enlèvement	364426
Vienne	364438
Vienne	647523
prévoir	1108639
Wyoming	364965
Wisconsin	365000
Texas	365170
thorium	365213
horreur	365344
aversion	365344
répulsion	365344
vénitien	365386
vénitien	496758
abrasif	365480
abrasif	846773
abcès	365580
frison	365708
distrait	365768
médiéval	366071
Montgomery	366039
Utah	366345
citrouille	366683
citrouille	366704
conique	367179
conique	367236
division	367345
division	1457292
thulium	367509
Kenya	7985
accélération	367793
accélération	672065
accélération	1258706
accélération	1258709
antiparticule	367908
altruiste	367973
gens	345910
envisager	332649
magnésium	158358
arithmétique	368213
arithmétique	493747
soustraction	368286
pourcentage	368662
ununbium	368710
accordéon	368916
gant	369021
développeur	364108
Tennessee	369277
harmonica	369380
balalaïka	349324
tungstène	369533
banane	369665
baseball	369984
football américain	5831
volley-ball	370250
lame	370359
lame	730441
ytterbium	370462
baromètre	370538
casse-tête	720892
yttrium	370956
acquittement	371053
épicier	371192
zirconium	371224
heure d'hiver	371308
boulanger	371496
cocaïne	371872
Halloween	371933
confiserie	371969
confiserie	371973
confiserie	371996
bonbon	371996
plombier	372119
araignée zébrée	372181
maçon	372205
briqueteur	372205
purgatoire	372490
enfer	372550
enfer	372553
religieuse	371794
religieuse	1266718
nonne	371794
sexualité orale	373326
imprimeur	373579
imprimeur	960266
boule de neige	389556
devise	347472
jargon	373872
jargon	1418491
syntaxe	373994
Royaume-Uni de Grande-Bretagne et d'Irlande du Nord	8302
îles britanniques	374326
perroquet	374495
soc	374616
pédiatre	374632
partager	374731
partager	374747
opposé	5832
opposé	374758
opposé	436297
opposé	464602
opposé	1333413
contraire	374758
contraire	436297
ajouter	7067
ajouter	7069
ajouter	7070
Kinshasa	374935
Brazzaville	374945
bourgmestre	7141
ophtalmologue	374976
Congo-Kinshasa	918629
linguistique	375148
linguistique	1167967
grammaire	375172
grammaire	859372
grammaire	1067980
Arizona	337978
Pays de Galles	374804
déclinaison	375560
déclinaison	503851
morphème	375617
morphème libre	375647
morphème lié	375659
amer	375671
phonème	1070330
dentiste	375885
fécond	376118
vol	376139
vol	631463
vol	1374379
île de Man	376226
dermatologue	376338
orthophoniste	376770
peine de mort	376982
bourreau	506072
bourreau	377057
neptunium	377199
oncologue	1044655
brasseur	377367
mulet	405085
nombre premier	377574
peine capitale	376982
yeux	1241259
Kosovo	378295
principauté de Liechtenstein	154068
États-Unis d'Amérique	6578
États-Unis	6578
français de Suisse	841918
français canadien	378794
français canadien	841959
français de Belgique	841945
anglais américain	378814
anglais américain	801274
anglais britannique	378840
anglais britannique	801255
pilote	378897
pilote	488452
tchétchène	160329
machine à voter	378013
urne électronique	378013
breton	378968
tchouvache	160337
paire	8187
paire	8188
paire	8189
dépression	379038
dépression	379041
dépression	379093
dépression	379192
Opération Tonnerre	7185
boule de feu	7186
boule de feu	983260
dorer	6940
phishing	379248
conversation	379319
conversation	379323
codes ISO 639-3	8155
Dictionnaire pour enfants OLPC	376314
boucle temporelle	379363
échange	1512607
échange	1512624
infirmier	479578
constitution	379531
constitution	494182
ici et là	6420
en passe de	6422
sur le point de	6422
au dessus	7064
au dessus	7065
plus de	7066
dongle	379817
gagaouze	380060
prêt au combat	8016
actif	8016
actif	8017
actif	8018
actif	8019
actif	8020
actif	8021
actif	8022
actif	8023
actif	8024
participant	8018
participant	1003483
dynamique	8023
dynamique	1081431
contagieux	380215
prométhéum	343233
pain d'épices	380256
droit subjectif	380277
hirondelle	380338
vieillir	353430
vieillir	353433
être d'accord	7071
concorder	7071
concorder	7073
se mettre d'accord	7072
être accordé	7073
aérer	353584
aérer	440650
ventiler	353584
milliseconde	380521
microseconde	380543
annuel	380563
annuel	807607
annuel	1066284
bisannuel	380591
large	5502
rouet	7285
capitaine des pompiers	7905
collection	5538
collection	697206
basse	5554
basse	866854
basse	866857
basse	1489184
basse	1489187
point d'orgue	5606
poste de garde	5655
corps de garde	5655
qualité	5664
qualité	370433
qualité	869071
gâteau de mariage	5680
marche nuptiale	5682
robe de mariée	5676
douaire	5683
s'éloigner	5867
centenaire	380617
centenaire	380620
bicentenaire	380624
bicentenaire	380627
bicentenaire	994091
nage	379372
grondin	380678
singe	5870
en masse	5884
improvisation	380721
en bloc	5884
deux-chevaux	5887
criminelle	5893
casque micro	6693
thermomètre	380757
cohabitation	380841
cohabitation	1232102
gynécologue	380988
soldes	381004
apiculteur	381071
apiculteur	668054
anesthésiste	381174
nay	381212
tar	381223
diffuser	353587
allure	353835
le long de	333399
déjà	6956
déjà	341721
déjà	1412035
chevelure	5526
chevelure	446278
pelage	5526
à la fin	6958
amphythéose	381346
dorade	381359
s'en aller	7092
s'en aller	1046974
éteindre	1108552
éteindre	1255943
film d'horreur	381439
pédophilie	381529
fissure	381567
président	381596
président	438838
président	1598389
facteur	381635
patinage sur glace	381702
rhodopsine	381710
cynologie	381716
vent d'automne	381902
orage d'automne	381898
se dépêcher	341511
ladin	7758
philia	381952
Vénus	382618
Vénus	435684
chaîne de Markov	382987
arbitre	7790
concis	383165
bichelamar	383623
balinais	8165
wallon	383773
wallon	1642805
adobe	383952
anneau unitaire	384031
présentateur de nouvelles	384142
juriste	350379
Autrichien	383349
Saturne	382630
tout le temps	6902
livre audio	384580
de langue étrangère	384482
en langue étrangère	384486
en langue étrangère	384489
eau bénite	384719
napperon	384698
s'élever	7558
s'élever	651756
s'élever	703204
quantité	7589
montant	353702
montant	1396111
en colère	7613
irrité	7613
irrité	1032097
un autre	333236
répondre	5610
répondre	1322150
résultat	161692
crête	384916
crête	1399196
crête	1399210
huppe	384916
papa	384926
bétonner	384931
mairie	384937
riverain	384943
malheureusement	384950
malheureusement	384953
hélas	384950
hélas	384953
heureusement	384961
heureusement	384964
lâche	5779
lâche	384984
lâche	1485483
couard	384984
craintif	7593
craintif	384984
peureux	7593
peureux	384984
froussard	384984
résoudre	353767
résoudre	704589
résoudre	967207
cachexie	385148
ennuyeux	385276
Trinité	385423
Saint-Esprit	385415
Esprit-Saint	385415
Sainte Trinité	385423
creux	373681
creux	1412306
fertile	1419639
drogué	342624
drogué	356012
toxicomane	356012
toxicomane	643840
sage-femme	385810
verbe auxiliaire	385753
pharmacien	386051
façade	385828
de retour	384440
de retour	386450
coup de fil	386482
appel téléphonique	386482
grenade à main	386568
grenade	386568
grenade	704185
marque-page	386600
lesbienne	386625
déchet	387223
Saxe	387298
isolat	344153
Pyjama	387824
sac à main	354587
le plus à gauche	387783
artiste	7505
artiste	387991
bokmål	8424
épidermolyse bulleuse	388154
aérodrome	6450
signal d'alarme	6923
lombard	7759
censure	388179
temple	388190
faire l'enfant	7348
étude	8493
étude	8495
étude	8496
étude	493831
étude	1317170
étudier	8494
étudier	8498
rapport	8495
nauruan	8198
nauruan	709694
Nauruan	6759
analyser	8497
modifier	5547
modifier	1356185
se changer	5586
sculpteur	388881
le plus à droite	387787
encourager	7230
archive	6800
archive	1476699
hangar	388235
hégémonie	389037
attraction	389081
attraction	624910
lin textile	389134
bosniaque	6103
bosniaque	382373
octogone	389365
bonhomme de neige	389465
outrecuidance	389584
présomption	389584
arrogance	389584
outrecuidant	389600
présomptueux	389600
arrogant	389600
luxembourgeois	340454
hexagone	389662
quadrilatère	389793
cerf-volant	389831
cerf-volant	390670
cabinet	390249
cabinet	1000564
bavarois	156471
austro-bavarois	156471
barbarisme	390612
losange	390688
armoire	390303
armoire	506882
de plus	7231
re-	7232
plus loin	7233
pénible	8176
incontestable	8178
irréfutable	8178
irréfragable	8178
irrécusable	8178
dur	8173
dur	8175
dur	8177
dur	159359
dure	8180
mousse	7153
écume	7153
mousser	7154
écumer	7154
mot de passe	390769
mot de passe	964533
éclairement	391018
éclairement lumineux	391018
courriel	5117
mail	5117
khmer	391037
n'importe quel	6962
bois de pommier	5782
tadjik	391568
tatar	391633
éblouissant	391858
corriger	391942
ornement	391971
ornement	391992
Navajo	7610
navajo	7611
astronome	392133
crucifix	392370
noix de muscade	392484
Mosquée bleue	392532
courbature	392780
paradoxe	392908
paradoxe	392955
embellir	392990
embellir	1447477
embellir	1447518
spectre	393060
hantise	393060
définition	393493
définition	401991
relation	393539
relation	401999
biochimiste	393557
citron	393592
citron	475527
raisin	393668
patate	160661
suivant	5875
suivant	1171934
exigeant	393773
poire	393831
kashmiri	394780
poireau	395080
aimer	340815
aimer	395193
aimer	485996
aimer	486015
aimer	486031
aimer	1561112
dessert	395282
mort de fatigue	395354
grain de riz	395644
mal de crâne	6982
arbërisht	6210
arvanite	6212
manioc	395385
manioc	395809
mangue	395778
oursin	395815
oursin	395824
châtaigne de mer	395815
hérisson de mer	395815
ourson	1021671
ourson	395824
ourson	395829
litchi	395866
étreinte	395896
étreindre	395892
matériel	874194
marché de Noël	396050
action	374589
litas	740874
naufragée	332564
bélier	5855
bélier	1328335
don	350419
don	500956
meuh	396297
meuglement	396316
meugler	396331
endométriose	396382
endocrinologue	396410
badois	396571
kiwi	396656
arbre de Noël	396691
calendrier de Noël	396713
aptéryx	740283
types de relations du thésaurus environnemental GEMET	1
laurier	157727
laurier	157731
volume	356031
volume	356041
réserver	366385
réserver	366392
réserver	485794
enregistrer	366376
enregistrer	493247
enregistrer	493259
enregistrer	493272
enregistrer	1089287
balance	397057
balance	473754
balance	626189
balance	1012122
bifteck	397151
steak	397142
steak	397151
contenu	356041
contenu	540528
arbitraire	397228
arbitraire	840421
franc-maçonnerie	397358
Noël	397467
toki pona	397529
peut-être	397559
éventuellement	397559
jaloux	397595
jaloux	397630
envieux	397595
onomatopée	397189
millet	397763
navigateur	397826
soirée des cadeaux	396200
soir de la Saint-Nicolas	396200
calendrier de l'Avent	396713
loterie	480301
misanthrope	397936
misogyne	397932
sphère armillaire	398001
tulipe	398044
orge	398106
sarrasin	398192
toutou	398239
astrolabe sphérique	398001
diplôme	347504
diplôme	503873
certificat	347504
oiseau de proie	402
néphrologie	398287
blog	398312
hyperbole	398475
botaniste	398560
chiffre	398605
rencontrer	343877
rencontrer	411148
francoprovençal	6438
arpitan	6438
amuzgo	6720
comprimable	398691
doubler	8459
doubler	350686
doubler	521788
doubler	1471456
cerise	398842
ours blanc	398900
bison	398978
donation	350419
Cologne	399141
lavande	399185
lavande	399194
essence de lavande	399222
injonction	398827
huile de lavande	399222
psychiatrie	399373
cellule souche	399399
Paris-Brest	399409
pâte à choux	399413
pâte cuite	399413
domaine	353916
domaine	431196
domaine	885000
domaine	1301590
domaine	1407677
s'armer	353988
foule	354022
foule	993922
imprimer	6870
imprimer	477274
imprimer	477365
imprimer	1410366
illuminer	376643
verbe ditransitif	385530
remarquer	399546
petit ami	7650
petit copain	7650
petite amie	7649
petite copine	7649
copine	5796
copine	7649
copain	5796
copain	7650
propulser	340730
conduire	340699
conduire	340716
conduire	346342
faire bouillir	154664
faire bouillir	369525
concevoir	6317
concevoir	474203
concevoir	486056
souffle	6002
souffle	370376
souffle	1406931
balayer	7567
balayer	441900
balayer	1466959
toucher	7584
toucher	8232
toucher	440673
toucher	482248
toucher	482266
répartir	455715
dessiner	339931
conclure	7146
conclure	485880
glisser	5791
glisser	6457
glisser	433382
illustration	8516
illustration	433784
illustration	956388
bord	366425
bord	366432
marge	366425
contour	366432
contour	488115
rebord	366425
rebord	1395615
entourer	366437
encercler	7837
encercler	366437
avocat du diable	399692
avocat du diable	399719
parfumer	399704
sacrebleu	399723
morbleu	399723
salle d'opération	399731
parbleu	399723
corbleu	399723
palsambleu	399723
ventrebleu	399723
pathologiste	399847
jument	400028
corvée	399804
standard	3604
standard	347529
standard	399619
standard	399649
standard	399683
mélomane	400283
rédaction	399106
dilettante	400283
amateur de musique	400283
mégalomane	400335
mégalomane	400340
mégalomanie	400345
mégalo	400335
mégalo	400340
pisaure admirable	400382
tourbillon	400506
tourbillon	1617211
palindrome	400557
souverain	400553
souverain	400583
conférence	7892
oméga	401166
épervier	401361
épervier d'Europe	401368
émouchet	401368
émouchet gris	401368
mouchet	401368
mousquette	401368
instrument de musique électronique	401426
instrument à vent	400922
instrument à vent	401456
musicien	401479
musicien	1031771
musicien	1148515
aérophone	400922
construction	6431
construction	7846
construction	493034
construction	867666
GEMET	5536
archet	401716
fondation	6918
fondation	355779
vampire	401906
vampire	1131821
empaler	401942
pal	401950
pieu	401950
cor des Alpes	402056
congolais	402344
congolais	402347
Congo-Brazzaville	154138
République démocratique du Congo	918629
Congo	154138
Congo	402389
Congo	918629
Afrique centrale	521
enveloppe charnelle	357288
dépouille	357288
restes	357288
blanche	357040
fée blanche	357040
dérivation	367073
cageot	354581
cageot	371910
épousseter	350903
archegonium	402541
recouvrir	157693
phrase d'exemple	402304
bleuâtre	402712
bleuté	402712
rougeâtre	402734
verdâtre	402746
jaunâtre	402766
flavescent	402766
bonsaï	402812
terrien	402896
martien	402917
martien	1299254
martien	1299257
minuit	402939
phacochère	402949
métallophone	403109
hollandais	5684
hollandais	383366
hollandais	1480944
Néerlandais	383369
flamand	446789
Hollandais	383369
givre	1571
gong	403096
rue	5895
brunâtre	403328
argenté	403344
argenté	403688
nouvel an	403368
champagne	403456
feu d'artifice	403529
feu d'artifice	1274729
pétard	1134330
casse-noix	403620
argentin	403344
argentin	403360
jour de l'an	403368
jour du nouvel an	403368
en argent	403688
voyelle	403769
voyelle	403772
consonne	403779
consonne	403782
tamia	404160
létal	404168
réveillon de Noël	404220
wayuu	6995
calembour	404214
jeu de mot	404214
barre chocolatée	404318
synchrotron	404554
noix	404735
noisette	404765
madurais	7756
madurais	392884
yakoute	7760
iakoute	7760
lak	7761
rromani Vlax	7769
romani Vlax	7769
rouge-gorge	404998
rouge-gorge européen	404998
yangman	7778
rouget	380678
trigle	380678
groenlandais	383437
Groenlandais	383441
judaïsme	405008
traduire	405405
ocarina	405517
cabriolet	405550
décapotable	405550
Dubaï	405580
Dubaï	405589
Doubaï	405580
Doubaï	405589
nombre	5877
nombre	5878
La Haye	405616
mouche	405714
professeur	405769
professeur	445262
professeur	1134625
professeur	1320040
Destination Italie	376319
